"MSSubClass","MSZoning","LotArea","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","ExterQual","ExterCond","Foundation","BsmtQual","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","TotalBath","BedroomAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","GarageType","MoSold","YrSold","SaleCondition","SalePrice"
20,"RL",11200,"Sawyer","1Fam","1Story",5,5,1965,1965,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1040,0,1040,2,3,"TA",5,0,"Detchd",2,2008,"Normal",129500
60,"RL",11924,"NridgHt","1Fam","2Story",9,5,2005,2006,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1182,1142,2324,4,4,"Ex",11,2,"BuiltIn",7,2006,"Partial",345000
20,"RL",12968,"Sawyer","1Fam","1Story",5,6,1962,1962,"TA","TA","CBlock","TA","TA","Y","SBrkr",912,0,912,2,2,"TA",4,0,"Detchd",9,2008,"Normal",144000
20,"RL",10652,"CollgCr","1Fam","1Story",7,5,2006,2007,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1494,0,1494,2,3,"Gd",7,1,"Attchd",8,2007,"Partial",279500
20,"RL",10920,"NAmes","1Fam","1Story",6,5,1960,1960,"TA","TA","CBlock","TA","TA","Y","SBrkr",1253,0,1253,3,2,"TA",5,1,"Attchd",5,2008,"Normal",157000
45,"RM",6120,"BrkSide","1Fam","1.5Unf",7,8,1929,2001,"TA","TA","BrkTil","TA","Ex","Y","FuseA",854,0,854,1,2,"TA",5,0,"Detchd",7,2007,"Normal",132000
20,"RL",11241,"NAmes","1Fam","1Story",6,7,1970,1970,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1004,0,1004,2,2,"TA",5,1,"Attchd",3,2010,"Normal",149000
90,"RL",10791,"Sawyer","Duplex","1Story",4,5,1967,1967,"TA","TA","Slab",NA,"TA","Y","SBrkr",1296,0,1296,2,2,"TA",6,0,"CarPort",10,2006,"Normal",90000
20,"RL",13695,"SawyerW","1Fam","1Story",5,5,2004,2004,"TA","TA","PConc","TA","Ex","Y","SBrkr",1114,0,1114,3,3,"Gd",6,0,"Detchd",6,2008,"Normal",159000
20,"RL",7560,"NAmes","1Fam","1Story",5,6,1958,1965,"TA","TA","CBlock","TA","TA","Y","SBrkr",1339,0,1339,1,3,"TA",6,0,"Attchd",5,2009,"Abnorml",139000
60,"RL",14215,"NridgHt","1Fam","2Story",8,5,2005,2006,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1158,1218,2376,4,4,"Gd",9,1,"BuiltIn",11,2006,"Partial",325300
45,"RM",7449,"IDOTRR","1Fam","1.5Unf",7,7,1930,1950,"TA","TA","PConc","TA","Ex","Y","FuseF",1108,0,1108,1,3,"Gd",6,1,"Attchd",6,2007,"Normal",139400
20,"RL",9742,"CollgCr","1Fam","1Story",8,5,2002,2002,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1795,0,1795,2,3,"Gd",7,1,"Attchd",9,2008,"Normal",230000
120,"RM",4224,"MeadowV","TwnhsE","1Story",5,7,1976,1976,"TA","TA","PConc","Gd","TA","Y","SBrkr",1060,0,1060,2,3,"TA",6,1,"Attchd",6,2007,"Normal",129900
20,"RL",8246,"Sawyer","1Fam","1Story",5,8,1968,2001,"TA","Gd","CBlock","TA","Ex","Y","SBrkr",1060,0,1060,2,3,"Gd",6,1,"Attchd",5,2010,"Normal",154000
20,"RL",14230,"NridgHt","1Fam","1Story",8,5,2007,2007,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1600,0,1600,2,3,"Gd",7,1,"Attchd",7,2009,"Normal",256300
20,"RL",7200,"NAmes","1Fam","1Story",5,7,1951,2000,"TA","TA","CBlock","TA","TA","Y","SBrkr",900,0,900,2,3,"Gd",5,0,"Detchd",5,2010,"Normal",134800
20,"RL",11478,"NridgHt","1Fam","1Story",8,5,2007,2008,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1704,0,1704,3,3,"Gd",7,1,"Attchd",5,2010,"Normal",306000
20,"RL",16321,"NAmes","1Fam","1Story",5,6,1957,1997,"TA","TA","CBlock","TA","TA","Y","SBrkr",1600,0,1600,2,2,"TA",6,2,"Attchd",12,2006,"Normal",207500
30,"RM",6324,"BrkSide","1Fam","1Story",4,6,1927,1950,"TA","TA","BrkTil","TA","Fa","N","SBrkr",520,0,520,1,1,"Fa",4,0,"Detchd",5,2008,"Normal",68500
70,"C (all)",8500,"IDOTRR","1Fam","2Story",4,4,1920,1950,"TA","Fa","BrkTil","TA","TA","N","SBrkr",649,668,1317,1,3,"TA",6,0,"Detchd",7,2008,"Normal",40000
20,"RL",8544,"Sawyer","1Fam","1Story",5,6,1966,2006,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1228,0,1228,2,3,"Gd",6,0,"Attchd",6,2008,"Normal",149350
20,"RL",11049,"CollgCr","1Fam","1Story",8,5,2007,2007,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1234,0,1234,2,3,"Gd",7,0,"Attchd",1,2008,"Normal",179900
20,"RL",10552,"NAmes","1Fam","1Story",5,5,1959,1959,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1700,0,1700,3,4,"Gd",6,1,"Attchd",4,2010,"Normal",165500
120,"RL",7313,"NridgHt","TwnhsE","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1561,0,1561,3,2,"Ex",6,1,"Attchd",8,2007,"Normal",277500
60,"RL",13418,"NridgHt","1Fam","2Story",8,5,2004,2005,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1132,1320,2452,4,4,"Gd",9,1,"BuiltIn",9,2006,"Normal",309000
20,"RL",10859,"CollgCr","1Fam","1Story",5,5,1994,1995,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1097,0,1097,2,3,"TA",6,0,"Attchd",6,2009,"Normal",145000
20,"RL",8532,"NAmes","1Fam","1Story",5,6,1954,1990,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1297,0,1297,2,3,"TA",5,1,"Attchd",10,2009,"Normal",153000
20,"RL",7922,"NAmes","1Fam","1Story",5,7,1953,2007,"TA","Gd","CBlock","TA","TA","Y","SBrkr",1057,0,1057,2,3,"Gd",5,0,"Detchd",1,2010,"Abnorml",109000
90,"RL",6040,"Edwards","Duplex","1Story",4,5,1955,1955,"TA","TA","PConc",NA,"TA","N","FuseP",1152,0,1152,2,2,"Fa",6,0,NA,6,2008,"AdjLand",82000
20,"RL",8658,"NAmes","1Fam","1Story",6,5,1965,1965,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1324,0,1324,2,3,"TA",6,1,"Attchd",12,2006,"Abnorml",160000
20,"RL",16905,"Timber","1Fam","1Story",5,6,1959,1959,"TA","Gd","CBlock","TA","Gd","Y","SBrkr",1328,0,1328,3,2,"TA",5,2,"Attchd",7,2007,"Normal",170000
85,"RL",9180,"SawyerW","1Fam","SFoyer",5,7,1983,1983,"TA","TA","CBlock","Gd","Gd","Y","SBrkr",884,0,884,2,2,"Gd",5,0,"Attchd",12,2007,"Normal",144000
20,"RL",9200,"CollgCr","1Fam","1Story",5,6,1975,1980,"TA","TA","CBlock","Gd","TA","Y","SBrkr",938,0,938,2,3,"TA",5,0,"Detchd",7,2008,"Normal",130250
20,"RL",7945,"NAmes","1Fam","1Story",5,6,1959,1959,"TA","TA","CBlock","TA","Ex","Y","FuseA",1150,0,1150,2,3,"TA",6,0,"Attchd",5,2006,"Normal",141000
120,"RL",7658,"NridgHt","TwnhsE","1Story",9,5,2005,2005,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1752,0,1752,3,2,"Ex",6,1,"Attchd",2,2010,"Normal",319900
50,"RL",12822,"Mitchel","1Fam","1.5Fin",7,5,2003,2003,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1518,631,2149,3,1,"Gd",6,1,"Attchd",8,2009,"Abnorml",239686
20,"FV",11096,"Somerst","1Fam","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1656,0,1656,2,3,"Gd",7,0,"Attchd",7,2007,"Normal",249700
190,"RM",4456,"OldTown","2fmCon","2Story",4,5,1920,2008,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",736,716,1452,2,2,"TA",8,0,NA,6,2009,"Partial",113000
20,"RL",7742,"Sawyer","1Fam","1Story",5,7,1966,1966,"TA","TA","CBlock","TA","Ex","Y","SBrkr",955,0,955,2,3,"TA",6,0,"Attchd",1,2007,"Normal",127000
60,"RL",13869,"Gilbert","1Fam","2Story",6,6,1997,1997,"TA","TA","PConc","Gd","Gd","Y","SBrkr",794,676,1470,3,3,"TA",6,0,"Attchd",7,2007,"Normal",177000
50,"RM",6240,"BrkSide","1Fam","1.5Fin",6,6,1934,1950,"TA","TA","PConc","TA","TA","Y","SBrkr",816,0,1176,1,3,"TA",6,1,"Detchd",9,2006,"Normal",114500
90,"RM",8472,"IDOTRR","Duplex","1Story",5,5,1963,1963,"Fa","TA","CBlock","Gd","TA","N","SBrkr",816,0,816,2,2,"TA",5,0,"CarPort",5,2010,"Normal",110000
20,"RL",50271,"Veenker","1Fam","1Story",9,5,1981,1987,"Gd","TA","CBlock","Ex","Gd","Y","SBrkr",1842,0,1842,3,0,"Gd",5,1,"Attchd",11,2006,"Normal",385000
80,"RL",7134,"NAmes","1Fam","SLvl",5,5,1955,1955,"TA","TA","CBlock","TA","TA","Y","SBrkr",1360,0,1360,1,3,"TA",6,1,"Detchd",2,2007,"Normal",130000
20,"RL",10175,"NAmes","1Fam","1Story",6,5,1964,1964,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1425,0,1425,2,3,"TA",7,1,"Attchd",7,2008,"Normal",180500
160,"FV",2645,"Somerst","Twnhs","2Story",8,5,1999,2000,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",983,756,1739,4,3,"Gd",7,0,"Attchd",8,2009,"Abnorml",172500
60,"RL",11645,"CollgCr","1Fam","2Story",7,5,2004,2004,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",860,860,1720,3,3,"Gd",7,0,"Attchd",8,2006,"Normal",196500
60,"RL",13682,"StoneBr","1Fam","2Story",10,5,2006,2006,"Ex","TA","PConc","Ex","Ex","Y","SBrkr",1426,1519,2945,4,3,"Gd",10,1,"BuiltIn",10,2006,"Partial",438780
20,"RL",7200,"CollgCr","1Fam","1Story",5,7,1972,1972,"TA","TA","CBlock","TA","Ex","Y","SBrkr",780,0,780,1,2,"TA",4,0,"Detchd",1,2008,"Normal",124900
20,"RL",13072,"SawyerW","1Fam","1Story",6,5,2004,2004,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1158,0,1158,3,3,"Gd",5,0,"Detchd",5,2006,"Partial",158000
75,"RM",7200,"IDOTRR","1Fam","2.5Unf",5,7,1920,1996,"TA","TA","BrkTil","TA","TA","N","SBrkr",581,530,1111,1,3,"Fa",6,0,"Detchd",3,2007,"Normal",101000
120,"RL",6442,"NridgHt","TwnhsE","1Story",8,5,2006,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1370,0,1370,2,2,"Gd",6,1,"Attchd",10,2007,"Normal",202500
70,"RM",10300,"OldTown","1Fam","2Story",7,6,1921,1950,"TA","TA","BrkTil","TA","Gd","Y","SBrkr",902,808,1710,2,3,"TA",9,0,"Detchd",4,2010,"Normal",140000
60,"RL",9375,"CollgCr","1Fam","2Story",7,5,1997,1998,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1057,977,2034,4,3,"Gd",8,0,"Attchd",2,2009,"Normal",219500
60,"RL",9591,"NridgHt","1Fam","2Story",8,5,2004,2005,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1143,1330,2473,3,4,"Gd",9,1,"BuiltIn",10,2007,"Normal",317000
20,"RL",19900,"NAmes","1Fam","1Story",7,5,1970,1989,"TA","TA","CBlock","Gd","TA","Y","SBrkr",2207,0,2207,3,3,"TA",7,1,"Attchd",7,2010,"Normal",180000
20,"RL",10665,"CollgCr","1Fam","1Story",7,5,2003,2003,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1479,0,1479,3,3,"Gd",7,0,"Attchd",6,2007,"Normal",226000
30,"RM",4608,"OldTown","1Fam","1Story",4,6,1945,1950,"TA","Gd","CBlock","TA","TA","Y","SBrkr",747,0,747,1,2,"TA",4,0,"Attchd",6,2010,"Normal",80000
50,"RL",15593,"ClearCr","1Fam","1.5Fin",7,4,1953,1953,"Gd","TA","CBlock","TA","TA","Y","SBrkr",1304,983,2287,2,3,"TA",7,1,"Attchd",7,2006,"Normal",225000
20,"RL",13651,"NAmes","1Fam","1Story",7,6,1973,1973,"TA","Gd","CBlock","Gd","Ex","Y","SBrkr",2223,0,2223,3,3,"TA",8,2,"Attchd",2,2007,"Normal",244000
20,"RL",7599,"Mitchel","1Fam","1Story",4,6,1982,2006,"TA","TA","CBlock","TA","TA","Y","SBrkr",845,0,845,2,2,"TA",4,0,"Detchd",6,2007,"Normal",129500
60,"RL",10141,"Gilbert","1Fam","2Story",7,5,1998,1998,"TA","TA","PConc","Gd","Gd","Y","SBrkr",885,833,1718,3,3,"TA",7,1,"Attchd",12,2009,"Normal",185000
20,"RL",10200,"NAmes","1Fam","1Story",5,7,1954,2003,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1086,0,1086,2,3,"TA",6,0,"Attchd",5,2010,"Normal",144900
50,"RM",5790,"OldTown","1Fam","2Story",3,6,1915,1950,"Gd","Gd","CBlock","Fa","Gd","N","SBrkr",840,765,1605,2,3,"TA",8,0,"Detchd",5,2010,"Normal",107400
180,"RM",1596,"MeadowV","Twnhs","SLvl",4,5,1973,1973,"TA","TA","CBlock","Gd","TA","Y","SBrkr",526,462,988,2,2,"TA",5,0,"BuiltIn",11,2009,"Normal",91000
20,"RL",8475,"NAmes","1Fam","1Story",4,7,1956,1956,"TA","TA","CBlock","TA","Ex","Y","FuseA",952,0,952,1,2,"TA",4,0,"Detchd",4,2008,"Normal",135750
50,"RM",8635,"BrkSide","1Fam","1.5Fin",5,5,1948,2001,"TA","TA","CBlock","TA","TA","Y","SBrkr",1072,213,1285,2,2,"TA",6,0,"Detchd",1,2008,"Normal",127000
90,"RL",10778,"Sawyer","Duplex","1Story",4,5,1968,1968,"TA","TA","CBlock","TA","TA","N","SBrkr",1768,0,1768,2,4,"TA",8,0,NA,4,2010,"Normal",136500
50,"RM",10440,"OldTown","1Fam","2Story",5,6,1910,1981,"TA","TA","PConc","TA","Gd","Y","SBrkr",682,548,1230,2,2,"TA",5,0,"Detchd",5,2009,"Normal",110000
60,"RL",13000,"NAmes","1Fam","2Story",6,6,1968,1968,"TA","Gd","CBlock","Gd","TA","Y","SBrkr",1182,960,2142,3,4,"Gd",8,1,"Attchd",6,2009,"Normal",193500
120,"RM",4500,"Mitchel","TwnhsE","1Story",6,5,1998,1998,"TA","Gd","PConc","Ex","Ex","Y","SBrkr",1337,0,1337,3,2,"TA",5,0,"Attchd",3,2006,"Normal",153500
20,"RL",10206,"Somerst","1Fam","1Story",8,5,2007,2007,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1563,0,1563,2,3,"Gd",6,1,"Attchd",10,2008,"Normal",245000
20,"RL",8892,"NAmes","1Fam","1Story",5,5,1960,1960,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1065,0,1065,2,3,"TA",6,0,"Detchd",7,2007,"Normal",126500
80,"RL",8530,"Gilbert","1Fam","SLvl",7,5,1995,1996,"TA","TA","PConc","Gd","Gd","Y","SBrkr",804,670,1474,3,3,"TA",7,1,"BuiltIn",5,2009,"Normal",168500
60,"RL",16059,"NoRidge","1Fam","2Story",8,5,1991,1992,"Gd","TA","CBlock","Gd","Ex","Y","SBrkr",1301,1116,2417,3,4,"Gd",9,1,"Attchd",4,2006,"Normal",260000
60,"RL",11911,"Gilbert","1Fam","2Story",6,5,2005,2005,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",684,876,1560,3,3,"Gd",6,1,"BuiltIn",3,2009,"Normal",174000
160,"FV",3951,"Somerst","TwnhsE","2Story",6,5,2009,2009,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",612,612,1224,3,2,"Gd",4,0,"Detchd",6,2009,"Partial",164500
50,"C (all)",8470,"IDOTRR","1Fam","1.5Fin",3,2,1915,1982,"Fa","Fa","CBlock","TA","TA","N","SBrkr",1013,0,1526,1,2,"Fa",6,0,NA,10,2009,"Abnorml",85000
20,"RL",8070,"CollgCr","1Fam","1Story",4,5,1994,1995,"TA","TA","PConc","Gd","Ex","Y","SBrkr",990,0,990,2,3,"TA",5,0,NA,8,2007,"Normal",123600
20,"RL",7200,"NAmes","1Fam","1Story",4,5,1950,1950,"TA","TA","Slab",NA,"TA","Y","FuseA",1040,0,1040,1,2,"TA",4,0,"Detchd",7,2006,"Normal",109900
20,"RL",8500,"NAmes","1Fam","1Story",5,3,1961,1961,"TA","TA","CBlock","TA","TA","Y","SBrkr",1235,0,1235,1,2,"TA",6,0,"Attchd",12,2006,"Abnorml",98600
30,"RL",13360,"Crawfor","1Fam","1Story",5,7,1921,2006,"TA","Gd","BrkTil","Gd","Ex","Y","SBrkr",964,0,964,2,2,"TA",5,0,"Detchd",8,2009,"Normal",163500
190,"C (all)",7200,"OldTown","2fmCon","2.5Unf",6,6,1910,1998,"TA","TA","BrkTil","TA","Ex","N","SBrkr",1260,1031,2291,3,4,"TA",9,1,"Detchd",11,2007,"Normal",133900
60,"RL",9337,"CollgCr","1Fam","2Story",6,5,1997,1997,"TA","Gd","PConc","Gd","Ex","Y","SBrkr",905,881,1786,4,3,"Gd",7,0,"Attchd",5,2007,"Normal",204750
60,"RL",9765,"Gilbert","1Fam","2Story",6,8,1993,1993,"Ex","Gd","PConc","Gd","Gd","Y","SBrkr",680,790,1470,3,3,"TA",6,1,"BuiltIn",4,2009,"Normal",185000
20,"RL",10264,"CollgCr","1Fam","1Story",7,5,1999,1999,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1588,0,1588,2,3,"Gd",6,0,"Attchd",8,2006,"Normal",214000
20,"RL",10921,"Edwards","1Fam","1Story",4,5,1965,1965,"TA","TA","CBlock","TA","TA","Y","FuseF",960,0,960,2,3,"TA",6,0,"Attchd",5,2007,"Normal",94750
30,"RL",10625,"Edwards","1Fam","1Story",5,5,1920,1950,"TA","TA","BrkTil","TA","Fa","N","SBrkr",835,0,835,1,2,"TA",5,0,"Basment",5,2010,"Abnorml",83000
20,"RL",9320,"NAmes","1Fam","1Story",4,5,1959,1959,"TA","TA","CBlock","TA","Fa","Y","SBrkr",1225,0,1225,3,3,"TA",6,0,NA,1,2010,"Normal",128950
20,"RL",10603,"NWAmes","1Fam","1Story",6,7,1977,2001,"TA","TA","PConc","TA","Gd","Y","SBrkr",1610,0,1610,3,3,"Gd",6,2,"Attchd",2,2010,"Normal",205000
60,"RL",9206,"SawyerW","1Fam","2Story",6,5,1985,1985,"Gd","TA","CBlock","Gd","TA","Y","SBrkr",977,755,1732,3,3,"Gd",7,1,"Attchd",6,2010,"Normal",178000
90,"RL",7018,"SawyerW","Duplex","1Story",5,5,1979,1979,"TA","Fa","Slab",NA,"TA","Y","SBrkr",1535,0,1535,2,4,"TA",8,0,"Attchd",6,2009,"Alloca",118964
20,"RL",10402,"CollgCr","1Fam","1Story",7,5,2009,2009,"TA","TA","PConc","Gd","Ex","Y","SBrkr",1226,0,1226,2,3,"Gd",6,0,"Attchd",5,2010,"Normal",198900
50,"RM",7758,"IDOTRR","1Fam","1.5Fin",7,4,1931,1950,"TA","Fa","PConc","TA","Ex","Y","FuseF",1226,592,1818,2,4,"TA",7,2,"Detchd",6,2007,"Normal",169500
60,"FV",9375,"Somerst","1Fam","2Story",8,5,2003,2004,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1053,939,1992,3,3,"Gd",9,1,"Attchd",8,2008,"Normal",250000
30,"RM",10800,"OldTown","1Fam","1Story",4,7,1885,1995,"TA","TA","BrkTil","Fa","Gd","Y","SBrkr",1047,0,1047,1,2,"TA",6,0,"Detchd",8,2007,"Normal",100000
20,"RM",6000,"OldTown","1Fam","1Story",5,5,1948,1950,"TA","TA","CBlock","TA","Ex","Y","SBrkr",789,0,789,1,2,"TA",5,0,"Detchd",4,2008,"Partial",115000
50,"RM",8500,"IDOTRR","1Fam","1.5Fin",5,7,1919,2005,"TA","TA","CBlock","TA","TA","N","FuseF",997,520,1517,2,3,"Fa",7,0,NA,8,2007,"Normal",115000
20,"RL",11751,"NWAmes","1Fam","1Story",6,6,1977,1977,"TA","TA","CBlock","Gd","Ex","Y","SBrkr",1844,0,1844,2,3,"TA",7,1,"Attchd",1,2010,"Normal",190000
50,"RL",9525,"Edwards","1Fam","1.5Fin",6,4,1954,1972,"TA","TA","CBlock","TA","Gd","Y","SBrkr",1216,639,1855,2,4,"TA",7,0,"Attchd",10,2006,"Normal",136900
80,"RL",7750,"Gilbert","1Fam","SLvl",7,5,2000,2000,"TA","TA","PConc","Gd","Ex","Y","SBrkr",774,656,1430,3,3,"TA",7,1,"BuiltIn",4,2010,"Normal",180000
60,"RL",9965,"CollgCr","1Fam","2Story",7,5,2007,2007,"Gd","TA","PConc","Ex","Ex","Y","SBrkr",1282,1414,2696,4,4,"Ex",10,1,"BuiltIn",10,2007,"Partial",383970
20,"RL",21000,"Crawfor","1Fam","1Story",6,5,1953,1953,"TA","Gd","CBlock","Gd","TA","Y","SBrkr",2259,0,2259,3,3,"Gd",7,2,"Basment",10,2007,"Abnorml",217000
70,"RL",7259,"Crawfor","1Fam","2Story",6,8,1945,2002,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1436,884,2320,4,3,"Gd",9,1,"Detchd",7,2007,"Normal",259500
160,"FV",3230,"Somerst","TwnhsE","2Story",6,5,1999,1999,"TA","TA","PConc","Gd","Gd","Y","SBrkr",729,729,1458,3,2,"TA",5,1,"Detchd",6,2007,"Normal",176000
20,"RL",11616,"Sawyer","1Fam","1Story",5,5,1962,1962,"TA","TA","CBlock","TA","TA","Y","SBrkr",1092,0,1092,2,3,"TA",6,1,"Attchd",9,2009,"Normal",139000
20,"RL",8536,"Edwards","1Fam","1Story",5,5,2006,2007,"TA","TA","PConc","Gd","Gd","Y","SBrkr",1125,0,1125,2,2,"TA",5,0,"Attchd",4,2007,"Partial",155000
60,"RL",12376,"SawyerW","1Fam","2Story",7,5,1990,1990,"TA","TA","PConc","Gd","Gd","Y","SBrkr",1699,1523,3222,4,5,"Gd",11,2,"Attchd",5,2010,"Normal",320000
60,"RL",8461,"CollgCr","1Fam","2Story",6,5,2005,2006,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",728,728,1456,3,3,"Gd",8,1,"Attchd",7,2006,"Partial",163990
80,"RL",21453,"ClearCr","1Fam","SLvl",6,5,1969,1969,"TA","TA","CBlock","TA","Ex","Y","SBrkr",988,0,988,2,1,"TA",4,2,"Attchd",10,2006,"Normal",180000
50,"RM",6060,"IDOTRR","1Fam","1.5Fin",4,5,1939,1950,"TA","TA","PConc","TA","Gd","Y","SBrkr",772,351,1123,1,3,"TA",4,0,"Detchd",6,2007,"Normal",100000
20,"RL",9464,"NAmes","1Fam","1Story",6,7,1958,1958,"TA","Gd","CBlock","TA","Gd","Y","SBrkr",1080,0,1080,1,3,"TA",5,0,"Attchd",6,2008,"Normal",136000
120,"RL",7892,"SawyerW","TwnhsE","1Story",6,5,1993,1993,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1199,0,1199,2,2,"Gd",5,0,"Attchd",3,2008,"Normal",153900
20,"RL",17043,"NWAmes","1Fam","1Story",6,5,1979,1998,"TA","Gd","CBlock","Gd","TA","Y","SBrkr",1586,0,1586,2,3,"TA",7,1,"Attchd",1,2009,"Normal",181000
190,"RM",6780,"IDOTRR","2fmCon","1.5Fin",6,8,1935,1982,"TA","Fa","CBlock","TA","Gd","N","SBrkr",520,0,754,2,2,"TA",5,0,NA,6,2006,"Normal",84500
120,"RL",4928,"NPkVill","TwnhsE","1Story",6,5,1976,1976,"TA","TA","CBlock","Gd","TA","Y","SBrkr",958,0,958,2,2,"TA",5,1,"Attchd",2,2007,"Normal",128000
45,"RM",4388,"OldTown","1Fam","1.5Unf",5,7,1930,1950,"TA","Gd","BrkTil","TA","Ex","Y","SBrkr",840,0,840,1,3,"TA",5,1,NA,6,2007,"Normal",87000
60,"RL",7590,"NAmes","1Fam","2Story",6,5,1966,1966,"TA","TA","CBlock","TA","TA","Y","SBrkr",660,688,1348,2,3,"TA",6,1,"Attchd",7,2006,"Normal",155000
20,"RL",8973,"NAmes","1Fam","1Story",5,7,1958,1991,"TA","TA","CBlock","TA","TA","Y","FuseA",1053,0,1053,3,3,"Ex",6,0,"2Types",7,2006,"Abnorml",150000
60,"RL",14200,"NAmes","1Fam","2Story",7,6,1966,1966,"TA","TA","CBlock","TA","Ex","Y","SBrkr",1216,941,2157,3,4,"Gd",8,2,"Attchd",5,2006,"Normal",226000
60,"RL",12224,"Gilbert","1Fam","2Story",6,5,2000,2000,"Gd","TA","PConc","Gd","Ex","Y","SBrkr",1022,1032,2054,4,3,"Gd",7,1,"BuiltIn",7,2009,"Normal",244000
