earn,height,sex,race,ed,age
996.918499717436,66.34,female,white,12,56
997.060240519208,66.31,female,black,14,35
997.072456516123,64.04,female,white,12,62
997.248534885182,61.73,female,white,12,33
997.8911125693919,62.03,female,white,16,36
998.222937309824,60.16,female,white,10,72
998.346114761212,63.09,female,white,14,33
998.4296833737579,66.09,female,white,12,52
998.5033874037712,62.81,female,white,17,45
998.612844261211,61.64,female,white,12,42
998.671567646385,62.86,female,white,16,33
998.682558355125,67.92,female,white,11,58
998.684495526987,62.69,female,white,11,33
998.726796716888,62.04,female,white,12,32
998.743384307228,62.2,female,white,11,30
998.7671877401648,63.01,female,hispanic,9,27
998.792806987374,62.75,female,white,13,48
998.925444353651,62.21,female,white,12,43
999.2367370700699,63.53,female,white,14,35
999.242958614164,60.96,female,white,10,39
999.3380971352028,63.78,female,white,14,42
999.6310356963228,62.82,female,white,12,35
999.7960302637,68.09,female,white,12,62
999.845388435426,65.9,female,white,12,27
999.878661556705,61.82,female,white,12,80
1000.21830625211,67.08,female,white,9,25
1000.22150357482,64.09,female,white,12,22
1000.4384473701899,64.97,female,white,12,45
1000.47251325349,65.81,female,white,13,28
1000.54221572545,63.1,female,white,12,36
1000.68811662548,59.57,female,hispanic,9,43
1000.81650997941,63.41,female,white,12,67
1000.8856431763,64.92,female,white,16,26
1000.9911108444196,70.03,female,white,12,61
1001.0004387029901,65.99,female,white,12,63
1001.2251177443601,66.07,female,black,11,33
1001.3928518077304,66.42,female,white,14,59
1001.4980426655801,68.29,female,black,12,26
1001.6664823116,66.3,female,white,13,30
1001.9066327076699,64.92,female,white,12,32
1002.0238429622301,66.59,female,white,12,22
1002.02789557595,64.18,female,white,12,34
1002.15389694231,63.62,female,white,12,39
1002.30715511839,63.15,female,white,14,54
1002.3923362722,67.76,female,white,12,28
1002.43982783669,61.88,female,white,12,70
1002.45371064789,66.78,female,white,13,63
1002.60049928122,64.24,female,white,12,32
1003.3547244743401,62.98,female,white,12,33
1003.37176812386,63.82,female,white,12,49
1003.6416743229305,62.21,female,white,12,52
1003.7065430372701,63.1,female,white,13,43
1003.80414608848,61.56,female,white,12,29
1003.9481893573401,64.17,female,hispanic,12,69
1004.0816717077099,62.42,female,white,12,63
1004.09561369181,60.0,female,white,12,48
1004.2097774494804,64.37,female,white,12,42
1004.3443659169801,67.65,female,white,12,38
1004.6881925756401,66.06,female,white,12,28
1005.1072200890303,62.1,female,white,12,43
1005.6685710722801,63.08,female,white,15,37
1005.8384737806399,70.7,female,white,8,74
1006.0176264420801,66.21,female,white,12,39
1006.4699020697199,63.48,female,white,14,43
1006.76154115774,65.63,female,white,12,28
1007.2119487410499,62.74,female,white,12,33
1007.2504839221001,65.0,female,white,12,66
1007.7098801579899,64.5,female,white,17,34
1007.8167611264801,62.35,female,white,15,52
1007.91101944059,65.89,female,white,12,63
1007.9571459641196,65.81,female,white,12,23
1007.9949410865801,68.26,female,white,12,22
1008.0218392642099,61.35,female,white,12,37
1008.3387919734697,62.22,female,white,10,24
1009.5439125996,60.19,female,white,12,38
1009.6918694217501,63.0,female,white,16,39
1009.7670460454401,64.88,female,white,12,63
1010.19089949095,63.84,female,white,12,40
1010.2290318261599,64.17,female,white,12,32
1010.4634170377001,66.17,female,white,12,56
1010.9813656957699,60.61,female,white,14,45
1012.3586518628999,63.12,female,white,9,58
1012.72857450333,62.7,female,white,12,55
1012.9311524245301,63.07,female,white,18,59
1012.9933116770401,64.14,female,white,12,61
1013.14945943267,62.04,female,white,14,82
1013.27147701205,62.27,female,white,12,29
1013.2884222970199,62.68,female,hispanic,13,36
1013.52477383429,64.5,female,white,9,67
1013.5262279071301,65.0,female,white,13,67
1013.91240595871,65.3,female,white,12,64
1014.4504555304401,64.91,female,white,14,45
1016.37310656959,61.0,female,white,16,44
1016.4910133623599,62.09,female,white,13,35
1016.50273906467,69.1,female,white,13,23
1016.6416748165301,63.06,female,white,12,64
1016.7516496253801,63.23,female,white,12,29
1017.1599605344301,62.58,female,hispanic,12,67
1019.3937032857699,65.85,female,white,12,55
1019.52175123961,65.4,female,white,10,52
1020.85471771991,64.72,female,white,9,79
1023.98892050724,62.99,female,other,8,56
1025.01290254845,63.26,female,white,10,41
1028.7967089839,64.52,female,white,14,41
1314.20587405782,66.84,female,white,12,37
1318.8755534802901,59.63,female,white,16,57
1432.2909737457599,65.79,female,white,15,25
1578.5428138957998,64.53,male,white,12,22
1605.96493256327,72.85,male,white,18,29
1641.8424658092804,62.86,female,white,12,35
1889.1408831668305,66.1,male,white,12,23
1939.87257570583,59.32,female,white,9,50
1945.44501302122,63.78,female,white,12,47
1955.16818716443,69.87,female,black,12,22
2098.28255691469,59.46,female,white,12,40
2115.67589682381,67.79,female,white,16,36
2396.14778671762,73.13,male,white,12,23
2581.0429400068,63.83,female,white,14,24
2581.8704016654997,64.79,female,white,12,22
2583.37635997833,65.01,female,white,12,22
2587.63185305423,65.9,female,white,15,32
2593.5574032364602,63.79,female,white,14,30
2596.37371508954,63.0,female,black,16,23
2598.33597751564,66.37,female,white,17,42
2600.43525202508,60.24,female,white,12,51
2609.6406928978304,57.34,female,black,12,62
2634.96424437502,65.16,male,white,12,26
2907.2064170387,66.23,female,white,12,24
2909.9380575930104,65.08,female,white,14,26
2912.6168564306395,61.72,female,black,5,77
2919.1260053187398,65.51,female,white,4,68
3128.4004542380603,65.48,male,hispanic,15,27
3153.3566529263508,69.16,male,white,12,25
3163.02291068586,66.3,male,white,12,22
3199.96325523417,68.07,male,white,12,22
3212.6495560539,72.24,male,hispanic,15,25
3224.436075821889,62.09,female,hispanic,3,68
3375.8193073489397,65.86,female,hispanic,12,25
3393.78999839327,65.78,female,white,12,27
3396.4107880473402,67.46,female,white,12,48
3843.762865820209,67.86,female,white,12,50
4159.0332215732105,61.54,female,white,13,22
4160.53105497259,67.87,female,white,12,22
4169.61756189437,66.73,female,white,12,34
4180.54604546177,64.29,female,white,9,29
4182.3942349404715,65.48,female,white,12,36
4184.2226846731,60.19,female,hispanic,6,71
4194.42425623004,63.43,female,white,12,37
4195.3362774016905,65.65,female,white,16,25
4199.25482208603,65.01,female,white,14,45
4203.92493626903,64.84,female,white,12,63
4330.56327434975,62.0,female,black,12,25
4706.62072409605,73.86,male,black,6,66
4753.87988315343,71.2,male,white,14,24
4755.73650797254,72.94,male,hispanic,15,24
4758.44302121065,70.99,male,white,8,26
4767.09597374661,72.33,male,hispanic,14,22
4771.497984754679,72.62,male,white,17,27
4807.83133117883,61.74,female,white,16,26
4812.7152814683795,67.12,female,hispanic,8,43
4831.58925740444,71.34,male,black,11,22
4972.0353918892,62.24,female,white,11,62
4985.24601643037,66.0,female,white,15,25
5042.87288471185,75.18,male,black,11,38
5529.47149841489,72.16,male,white,10,22
5753.10762270653,66.17,female,white,14,23
5761.17534334497,66.38,female,white,12,28
5764.82640107653,66.36,female,other,12,39
5765.71378324095,61.71,female,white,16,41
5768.44503437889,65.09,female,black,16,27
5768.92665868558,62.71,female,white,12,41
5771.77114883749,68.35,female,white,12,27
5772.98208580172,65.06,female,white,16,26
5775.405811580229,67.13,female,white,12,30
5780.073674992,66.19,female,white,16,33
5781.365367372111,71.49,female,white,14,31
5782.248948451,66.49,female,white,15,69
6354.842126756229,70.09,male,black,14,25
6359.00598305609,71.36,male,white,15,25
6373.617568577802,70.59,male,white,12,23
6380.09148122974,72.87,male,white,13,22
6396.29858419505,72.99,male,white,15,28
6528.93768232502,65.47,male,white,16,34
6555.899147345811,66.3,female,white,12,44
6565.331234842571,63.75,female,white,12,65
6566.2571368786,66.16,female,white,12,55
6722.681429951739,64.94,female,white,15,71
7101.324158737141,66.95,female,white,9,56
7344.957579088629,69.86,female,white,14,75
7350.343895911841,68.48,female,white,13,61
7351.36224357467,61.96,female,white,12,72
7352.90609561772,63.0,female,black,15,26
7354.053632223491,63.82,female,white,9,72
7358.5069793707,62.02,female,white,12,33
7362.324696270591,65.15,female,white,12,77
7363.697430876659,60.66,female,hispanic,12,42
7363.89520150288,65.14,female,white,12,42
7364.53214004544,64.81,female,other,12,32
7365.5038036505,64.7,female,white,13,37
7368.266106176468,70.2,female,white,12,26
7370.7516424246805,59.64,female,white,8,68
7371.8601953120215,65.92,female,white,8,70
7372.74244873303,63.48,female,white,13,48
7375.925709363779,63.98,female,white,16,49
7378.630166061559,66.01,female,white,16,46
7847.48828249529,64.33,male,black,17,37
7869.85708849864,65.83,male,white,12,79
7876.230871598091,69.78,male,other,13,26
7893.44745525963,75.04,male,white,12,25
7902.166814122679,66.39,male,white,15,24
7932.57103394049,67.83,male,white,16,28
7935.494806660591,71.42,male,white,12,22
8012.3490716726,74.88,male,white,12,26
8026.6457944128515,62.04,female,other,6,76
8027.18531618615,68.63,male,white,16,26
8031.69997754504,68.31,male,white,13,24
8056.635012153892,73.65,male,white,12,22
8161.623861307159,64.15,female,white,16,27
8162.682671768579,58.09,female,white,5,89
8181.730282038349,65.8,male,white,8,71
8466.49445018308,66.1,female,black,12,82
8750.13918500201,66.67,male,white,14,26
8930.78455644505,67.27,female,white,13,59
8934.462530203891,63.29,female,white,13,30
8935.222877318309,65.04,female,white,15,24
8935.97929440994,62.14,female,white,11,75
8939.55497630854,62.83,female,white,12,44
8939.87426566371,67.04,female,white,14,23
8942.80671590728,62.97,female,white,10,91
8945.55105069553,68.91,female,white,14,28
8949.474935476372,62.17,female,white,13,55
8949.601970069441,62.17,female,white,12,82
8949.67101572717,63.6,female,white,12,32
8950.51549317265,63.91,female,white,15,44
8951.01665799154,61.87,female,white,14,52
8951.3872765461,65.83,female,white,12,56
8955.40314951583,64.86,female,black,16,34
8958.40683258562,64.3,female,hispanic,12,43
8960.2545578515,66.11,female,white,12,33
8962.40245588917,61.72,female,white,12,25
8962.85062670136,61.96,female,white,12,22
8967.87647229583,60.96,female,white,13,35
9431.115261315841,66.18,female,white,13,64
9490.29690448586,69.22,male,white,8,82
9521.39185162996,64.41,male,hispanic,10,40
9575.46185684499,68.22,male,white,12,31
9576.388197487042,62.32,female,white,12,35
9579.8456488705,73.86,male,white,15,77
10044.722514609899,62.1,female,white,8,73
10233.0797957323,65.15,female,white,12,34
10328.6188426045,70.22,male,white,16,69
10522.9175006923,67.83,female,white,18,43
10524.3333363139,63.36,female,white,13,27
10526.189331870899,63.02,female,white,12,82
10529.7506464015,62.09,female,white,10,72
10531.9881266657,63.14,female,hispanic,12,69
10533.1039963861,61.49,female,white,12,69
10535.510939608599,59.93,female,white,5,66
10536.8164690924,66.3,female,white,13,38
10537.4648191351,64.96,female,white,13,48
10538.599791571,63.68,female,white,12,71
10538.7447239525,65.8,female,white,15,26
10538.8367190333,65.05,female,white,12,32
10542.8902094512,61.48,female,white,12,68
10543.0059825721,65.35,female,hispanic,9,78
10543.6518922358,61.86,female,black,13,30
10545.4502477035,60.13,female,white,12,69
10546.2705351933,63.34,female,white,12,39
10547.6593411727,66.08,female,white,16,52
10547.8916527515,64.19,female,white,12,64
10557.2030414009,63.04,female,white,14,39
10559.4810739797,60.23,female,white,13,32
10560.7163277053,59.71,female,white,12,53
10565.080348061,62.79,female,other,12,35
10719.1973744773,61.53,female,white,12,69
10861.0922840824,64.03,female,white,13,87
11052.2685502736,68.13,male,white,12,71
11062.216631806,73.87,male,white,7,53
11121.5282649971,69.72,male,white,16,34
11176.065937334699,66.99,male,white,10,82
11207.891267584098,71.87,male,black,14,28
11260.285789875401,69.05,male,white,12,27
11338.9470357351,63.76,female,white,15,35
11339.362393445901,59.92,female,white,8,87
11485.9945183583,60.18,female,hispanic,14,32
11491.8443763099,72.53,male,white,14,70
12115.9173222928,64.71,female,white,16,35
12123.378927428701,64.22,female,white,11,68
12129.4184092628,64.22,female,white,12,32
12129.4641155017,60.95,female,white,12,67
12131.8221152514,64.2,female,black,12,59
12132.2731355026,62.1,female,white,12,77
12132.5027696978,65.95,female,white,13,47
12134.4467282926,63.24,female,white,9,29
12137.2448273531,69.85,female,white,14,34
12137.6764657013,63.95,female,white,10,43
12154.012468166002,64.19,female,white,16,63
12641.1483677478,71.01,male,white,12,72
12698.131097278501,63.81,male,hispanic,8,31
12721.3377336341,71.39,male,black,14,31
12721.568402216799,65.93,male,other,10,64
12735.584147335901,73.06,male,hispanic,14,25
12747.0423371962,69.42,male,white,10,79
12787.9070555997,67.82,male,white,17,29
12924.223997782901,60.94,female,white,14,82
13080.2480579603,67.15,female,white,6,66
13622.609339388899,67.76,male,black,13,75
13695.752850286,64.1,female,white,15,24
13706.6343035933,64.38,female,white,12,33
13710.6713116427,63.64,female,white,12,37
13711.4490881715,62.37,female,black,11,27
13712.5235224073,64.8,female,black,12,35
13712.7662216597,61.18,female,white,11,76
13713.7442426761,61.86,female,white,12,55
13715.9034686946,65.99,female,white,12,75
13717.6657412768,69.24,female,white,13,47
13718.4543920556,64.51,female,other,10,86
13718.6298924513,63.71,female,white,13,23
13720.505367283899,66.27,female,white,12,46
13720.5614863724,71.45,female,white,12,29
13720.6740585699,62.68,female,white,9,49
13722.141363413999,63.85,female,white,12,43
13726.4773008127,63.0,female,white,12,61
13727.1703803878,67.87,female,white,13,23
13729.672024591699,69.96,female,white,13,26
13733.774868633998,65.98,female,white,14,47
13735.4075238793,63.02,female,white,14,35
13742.373319618999,65.32,female,white,12,54
14176.387252986699,73.37,male,white,9,65
14214.3087953851,67.14,male,white,13,37
14300.460580179599,71.72,male,white,12,36
14306.430724727701,72.86,male,white,15,38
14525.0653532774,67.11,female,white,12,48
15290.244118262099,69.81,female,white,12,39
15292.2967766704,68.74,female,white,11,38
15296.7303638123,68.23,female,white,14,45
15309.4702056486,63.81,female,hispanic,13,26
15313.352901434198,64.53,female,white,15,30
15316.989784225902,65.87,female,black,8,39
15324.381080719199,62.23,female,white,12,59
15809.0448761028,72.98,male,white,16,63
15859.531444691298,72.86,male,white,12,25
15865.7268275005,71.9,male,hispanic,13,24
15885.5195104926,68.79,male,white,17,27
15892.2091978625,68.15,male,white,12,35
15899.4031550977,67.02,male,white,12,81
15920.5922048939,65.15,male,white,13,31
15961.4273011639,71.79,male,white,11,35
15970.26222705,71.89,male,white,12,53
15997.545599918201,72.1,male,black,17,66
16108.242172076001,66.91,female,white,12,36
16124.9628676755,62.28,female,white,12,69
16671.501125477902,66.55,male,hispanic,12,46
16876.3917770673,65.85,female,white,12,70
16878.8349959772,60.61,female,black,12,43
16880.9998315911,65.96,female,white,13,55
16881.7141614142,60.66,female,white,17,83
16884.77431914,65.91,female,white,10,79
16886.8514579247,64.44,female,white,12,78
16887.1457287969,68.16,female,black,18,60
16888.7393946248,64.78,female,white,12,45
16889.5158551673,65.01,female,white,14,71
16889.6611198725,65.5,female,white,12,57
16889.8103273437,60.72,female,white,15,29
16889.9869050085,65.61,female,white,12,47
16890.3326960442,65.12,female,white,12,44
16890.6172628713,62.86,female,white,12,22
16892.6857012084,61.91,female,white,12,42
16892.8740662929,62.1,female,black,12,40
16893.650618773998,62.93,female,white,12,35
16894.0221460191,63.96,female,white,14,36
16894.1454216893,62.2,female,white,12,56
16894.2835398117,61.77,female,black,12,31
16894.8715844397,63.71,female,white,13,35
16895.3990352936,67.24,female,white,14,36
16896.1000435301,62.76,female,black,12,39
16896.3080934012,63.35,female,white,12,65
16898.1539759619,66.07,female,white,12,72
16898.5850156759,63.93,female,white,14,60
16898.6413084924,71.17,female,black,14,36
16899.2184171763,65.83,female,white,15,71
16899.2307482988,60.07,female,white,12,66
16899.7657635547,61.94,female,white,12,55
16899.983854556598,64.92,female,white,14,67
16900.745158091002,62.86,female,white,13,68
16900.9336464029,61.76,female,white,11,51
16901.6558792008,62.09,female,white,12,51
16901.8264738142,59.77,female,white,12,43
16902.2396528115,64.83,female,white,12,47
16903.3551430115,69.06,female,white,12,32
16904.9984512194,64.38,female,white,12,45
16905.0220799872,60.75,female,hispanic,12,26
16905.140858926497,67.49,female,white,17,34
16905.5578510981,70.08,female,white,16,40
16906.2841715607,63.17,female,black,14,29
16906.346039058102,68.97,female,white,14,36
16906.6360987587,68.19,female,white,16,46
16908.1568753555,63.28,female,white,12,29
16908.8113233328,69.12,female,white,16,29
16910.1847964277,65.99,female,white,13,42
16911.0248263552,68.29,female,black,9,66
16912.1555694825,62.08,female,white,16,44
16913.367679310602,64.15,female,white,15,46
16913.9983227796,74.3,female,white,14,26
16918.2189161501,65.64,female,white,12,61
17477.4743066582,74.38,male,white,10,54
17505.4454560322,65.73,male,black,12,66
18477.7803339031,67.83,female,white,12,42
18480.6824537285,66.26,female,white,14,61
18481.473822349,68.24,female,white,10,28
18482.8594515788,65.28,female,white,13,51
18482.9571837826,63.27,female,white,9,55
18488.0224412708,66.21,female,white,10,62
18489.6235991451,65.91,female,white,12,27
18491.4632477733,68.48,female,black,12,45
18494.0961370381,64.28,female,white,12,52
18497.8538930071,60.61,female,hispanic,12,25
18497.9558645746,63.11,female,white,12,51
18516.6837641757,63.1,female,white,15,70
19019.4383518021,76.02,male,white,12,61
19019.5422985066,68.08,male,white,12,31
19020.2126342116,71.06,male,white,12,25
19031.9000979283,71.81,male,white,12,35
19037.4454862462,67.15,male,hispanic,12,26
19050.8316923704,68.91,male,white,4,66
19051.340409669,74.3,male,black,16,45
19053.5691050415,65.21,male,white,12,75
19065.5179466674,66.13,male,white,12,32
19083.0662723967,72.94,male,white,12,33
19086.124482465602,64.04,male,black,13,26
19095.2615453343,69.52,male,white,13,44
19100.6126796045,66.85,male,white,13,71
19119.2497606979,73.4,male,white,12,28
19119.584235378,63.61,male,white,12,79
19131.3555361695,70.93,male,white,12,56
19150.3369351537,74.1,male,white,12,42
19176.3341880439,70.83,male,hispanic,6,44
19182.6074308127,73.26,male,black,13,25
20057.9469932086,63.83,female,white,15,75
20063.9966387225,64.86,female,white,12,55
20065.082736458102,62.98,female,white,16,30
20065.3040015574,64.06,female,white,12,43
20068.0607328364,68.05,female,white,12,49
20070.4266821973,68.19,female,white,12,52
20073.715648062098,63.99,female,white,14,42
20074.4189766833,62.75,female,black,12,33
20074.666638086,64.39,female,white,12,38
20074.772983259598,66.35,female,white,13,72
20075.1124669118,68.84,female,black,12,39
20075.6765540308,64.23,female,white,14,27
20078.7017904862,67.96,female,white,14,73
20078.9661907246,69.1,female,white,12,64
20079.0535040621,59.9,female,hispanic,12,55
20079.3061155936,64.49,female,white,16,44
20079.5574272996,63.8,female,black,12,77
20079.9007989922,64.7,female,white,12,26
20084.318770743303,63.03,female,white,12,39
20084.3631443331,66.52,female,white,12,43
20084.6692833515,62.95,female,white,14,38
20085.6872462914,66.91,female,white,12,37
20086.1754557979,63.93,female,white,8,52
20087.043896178402,63.81,female,white,13,41
20088.311464423798,64.48,female,white,12,30
20090.352565653702,67.44,female,white,12,47
20091.4931673901,71.41,female,white,12,39
20091.5964444871,65.17,female,white,12,55
20095.5458305818,65.97,female,black,14,38
20095.9029830232,59.98,female,hispanic,12,32
20096.217417254098,66.07,female,white,13,26
20099.9218436585,65.48,female,white,13,67
20100.2642571535,68.3,female,white,16,36
20550.1150385843,70.19,male,white,16,26
20594.711211041,66.35,male,black,8,60
20628.295518711202,70.44,male,white,12,78
20636.445440776202,70.68,male,black,9,54
20670.4756812433,69.3,male,white,10,24
20859.1253422943,62.89,female,white,12,67
20882.6809309634,65.09,female,white,12,31
20884.8217696475,64.94,female,white,12,36
21658.7263654599,62.09,female,white,12,57
21659.5418912689,60.56,female,hispanic,12,23
21661.0075017285,62.9,female,white,12,23
21663.004315450202,63.69,female,white,12,40
21664.659942411898,63.05,female,hispanic,12,39
21666.0178506817,66.05,female,white,12,34
21669.248445036297,67.98,female,white,14,52
21672.4590284355,65.56,female,white,16,37
21674.3140627863,63.41,female,white,8,62
21676.2738975494,66.86,female,white,12,33
21681.934597577,65.14,female,white,10,84
21922.316331198603,70.93,male,white,14,58
22149.542756516406,66.26,male,white,12,66
22206.6211632941,69.86,male,white,14,39
22225.110888133706,65.96,male,white,12,27
22241.3709490266,65.29,male,white,12,77
22252.899393160602,71.68,male,white,12,28
22284.6898628754,70.77,male,white,12,73
22286.8004109747,71.18,male,white,12,40
22329.158952236,62.91,male,white,12,25
23102.781191952003,74.97,male,white,12,28
23250.198151570297,63.89,female,black,8,55
23255.7192646579,64.04,female,white,11,55
23257.4531814882,61.35,female,white,12,41
23257.5590577062,63.09,female,white,12,41
23259.2826084242,60.01,female,white,14,76
23260.5391564021,63.15,female,white,12,24
23262.30627373229,63.38,female,white,13,62
23263.2462506252,68.63,female,white,12,34
23264.3741899011,68.0,female,white,14,59
23266.381980194703,65.03,female,white,12,50
23272.6828309175,63.92,female,white,14,44
23273.0643236029,62.89,female,white,12,32
23278.3232780607,63.04,female,white,14,25
23793.0568258544,72.0,male,white,8,62
23793.596287379398,70.02,male,white,12,36
23797.751351658706,71.15,male,white,12,29
23809.4477379481,71.85,male,white,12,44
23817.843746481,68.62,male,white,12,30
23824.410492409,70.75,male,white,9,25
23831.5316537746,71.81,male,white,12,43
23863.012325189302,71.57,male,white,11,67
23868.1473946433,72.0,male,white,14,26
23873.5673156157,71.94,male,white,14,37
23877.347633219502,65.08,male,other,14,25
23878.8111841365,71.04,male,white,14,35
23896.1225958883,68.31,male,white,14,29
23905.689408514303,67.55,male,hispanic,16,32
23907.505679926202,64.37,male,white,12,39
23908.082328374,70.4,male,white,17,34
24035.958990178,63.9,female,white,12,59
24824.3894868874,63.89,female,white,12,75
24831.1444642002,61.37,female,white,12,81
24837.298692791293,64.98,female,white,12,35
24839.639841273398,63.84,female,white,13,45
24843.174860604904,63.03,female,white,12,41
24843.1804714277,58.97,female,white,8,65
24843.7543318963,66.4,female,white,17,47
24843.792361469103,68.86,female,white,12,38
24845.428591748598,63.96,female,white,14,29
24845.7392111286,64.09,female,white,14,26
24847.4599106837,67.2,female,white,12,30
24847.4675748411,66.65,female,white,12,33
24847.921611098398,67.41,female,white,12,81
24848.1063279448,66.95,female,white,12,31
24848.5150235251,68.07,female,white,12,37
24849.1932942171,60.3,female,black,12,80
24849.264510266406,64.06,female,white,12,60
24850.196030533,63.19,female,white,14,41
24850.8308644127,59.01,female,white,14,66
24851.1945376469,63.17,female,white,16,35
24851.8480250879,64.12,female,hispanic,16,36
24852.1695267614,64.25,female,white,16,33
24852.3361979281,64.41,female,white,12,35
24852.509723465602,66.06,female,white,16,61
24852.9189798823,60.98,female,white,13,32
24853.5195136729,61.31,female,white,18,86
24854.1042055616,64.02,female,other,13,37
24854.203599248598,60.32,female,white,14,53
24854.230640961694,64.69,female,white,14,70
24854.258184348306,66.21,female,white,12,85
24854.2862407647,63.68,female,white,16,33
24854.9424481381,65.34,female,black,12,32
24854.9727381481,67.01,female,black,14,34
24855.035493534302,61.2,female,other,16,38
24856.1676094287,62.84,female,white,13,35
24856.3852622375,66.85,female,white,12,24
24857.016024841,62.92,female,white,12,25
24857.441360456694,67.82,female,black,11,35
24857.5303329462,74.88,female,white,13,79
24858.2269938452,67.47,female,white,12,22
24858.2973709503,66.01,female,white,12,42
24859.421042332204,63.83,female,white,12,42
24859.796073372596,65.36,female,hispanic,16,34
24859.815172234303,64.15,female,white,16,30
24859.9457977036,64.02,female,white,14,27
24860.3637743202,63.94,female,hispanic,11,25
24860.646609068906,59.96,female,white,14,79
24861.2188259363,66.62,female,black,12,46
24862.3904718197,66.82,female,white,15,73
24864.5362144608,68.26,female,hispanic,12,72
24867.394491438707,59.74,female,white,13,41
24875.871655643998,65.8,female,white,12,23
25361.828378910897,66.1,male,white,12,41
25420.1296221833,69.66,male,white,12,37
25427.4001595129,72.05,male,white,13,27
25439.9094368504,76.18,male,white,15,36
25447.465302014,67.55,male,white,8,47
25452.1338955757,72.11,male,white,14,25
25455.211936639,68.73,male,white,12,23
25499.5396603811,68.08,male,white,8,28
25550.7559075621,62.04,male,hispanic,14,32
26420.832253551802,62.8,female,white,14,31
26423.129343136094,60.8,female,white,15,42
26425.997460426406,64.28,female,white,16,31
26427.6756161573,67.11,female,white,12,43
26432.0238638548,63.23,female,hispanic,12,50
26432.886456701402,67.89,female,white,13,47
26433.445731925298,63.98,female,white,14,63
26433.7795557355,64.82,female,white,14,63
26434.502607035898,66.82,female,white,12,65
26434.5356297357,65.19,female,white,12,40
26437.6534741544,62.96,female,white,12,53
26440.4988768348,62.85,female,white,15,36
26443.0930466471,68.29,female,white,18,43
26447.0035703518,65.03,female,white,14,35
26500.2429561617,64.39,female,white,12,37
26877.8701780781,67.02,male,white,14,35
26930.5439643451,68.07,male,white,12,62
26979.297673728106,71.15,male,white,12,32
27009.5096925429,72.76,male,white,12,50
27043.6720522342,72.12,male,white,12,36
27044.398985041,70.96,male,hispanic,13,40
27048.7526856383,69.33,male,black,12,46
27052.3145447836,74.2,male,white,16,35
27055.6866263278,72.35,male,white,12,34
27064.549819231,66.1,male,black,12,27
27068.2291862713,63.7,female,black,12,25
27082.7070995351,68.85,male,white,12,50
27100.834976173,66.96,male,white,12,71
27130.7019128214,69.07,male,other,14,37
